"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"LCSC";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"C1";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"10uF";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C3";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"22uF";
"C4";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"22uF";
"C5";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C6";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C7";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"22uF";
"C8";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"10nF";
"C9";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"1.0uF";
"C10";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"1.0uF";
"C11";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C12";"10nF";"10NF-0805-400V-20%";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nF";
"C13";"10nF";"10NF-0805-400V-20%";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nF";
"D1";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"DIO-11623";"";"1A/23V/620mV";
"DL";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"2";"";"";"";
"F1";"125V/3A";"01550900M125V/3A/SLOW";"01550900M";"Fuse Block 10 A 125V 1 Circuit Cartridge Surface Mount";"";"125v/3A slow blow fuse in smd holder";"";"";"Littelfuse";"0154003.DRTL";"";"";"";"";"";"";"125V/3A";
"FC1_OB";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"2";"";"";"";
"FC1_V";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"2";"";"";"";
"H1";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"3";"";"";"";
"H2";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"3";"";"";"";
"H3";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"3";"";"";"";
"IC1";"ATTINY426-MU";"ATTINY426-MU";"QFN40P300X300X90-21N";"8-bit Microcontrollers - MCU 20MHz, 4KB,VQFN20, Ind 85C, Green";"";"8-bit Microcontrollers - MCU 20MHz, 4KB,VQFN20, Ind 85C, Green";"0.9mm";"";"Microchip";"ATTINY426-MU";"";"579-ATTINY426-MU";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/ATTINY426-MU?qs=pUKx8fyJudAatJqFKBSQfg%3D%3D";"";"";"";"";
"J1";"";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"";"";"";"";"";"";"CONN-14122";"";"";
"J2";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J3";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J4";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
